Rest_name,Rest_ratings,Rest_noreviews,Rest_price,Rest_cuisine,Rest_add,Rest_tel,Rest_nbh,Rating,Price,Cuisine,Street_add,neighbourhood_,neighbourhood,neighbourhood_good
Grand Electric,3.5 star rating,688,$$,Bars,1330 Queen Street W,(416) 627-3459,Parkdale,3.5,2,American,Queen Street W,,Parkdale,Parkdale
Ristorante Sotto Sotto,4 star rating,100,$$$,Italian,120 Avenue Road,(416) 962-0011,The Annex,4.0,3,European,Avenue Road,,The Annex,The Annex
The Queen And Beaver Public House,4 star rating,381,$$,Pubs,35 Elm Street,(647) 347-2712,Downtown Core,4.0,2,American,Elm Street,,Downtown Core,Downtown Core
Insomnia Restaurant & Lounge,4 star rating,925,$$,Lounges,563 Bloor Street W,(416) 588-3907,The Annex,4.0,2,Other,Bloor Street W,,The Annex,The Annex
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Scaddabush Italian Kitchen & Bar,3.5 star rating,210,$$,Italian,200 Front Street W.,(416) 979-3665,Entertainment District,3.5,2,European,Front Street W.,,Entertainment District,Entertainment District
Arabian Bites,5 star rating,1,None,Middle Eastern,335 Yonge Street,(647) 679-3318,Ryerson,5.0,0,Middle Eastern,Yonge Street,,Ryerson,Ryerson
The Ace,4 star rating,183,$$,Comfort Food,231A Roncesvalles Avenue,(416) 792-7729,Roncesvalles,4.0,2,Other,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Carisma,4 star rating,170,$$$,Italian,15 Toronto Street,(416) 864-7373,Downtown Core,4.0,3,European,Toronto Street,,Downtown Core,Downtown Core
Chick-fil-A,4 star rating,90,$$,Fast Food,709 Yonge St,(416) 513-0611,Church-Wellesley Village,4.0,2,American,Yonge St,,Church-Wellesley Village,Church-Wellesley Village
Chung Chun Rice Hotdog,4 star rating,52,None,Hot Dogs,11 Byng Avenue,11 Byng Avenue,Willowdale,4.0,0,American,Byng Avenue,,Willowdale,Willowdale
Gusto 501,3.5 star rating,14,None,Italian,501 King Street E,(416) 477-5647,Corktown,3.5,0,European,King Street E,,Corktown,Corktown
Union Social Eatery,4 star rating,146,$$,American (Traditional),21 Saint Clair Avenue W,(416) 901-3456,Yonge and St. Clair,4.0,2,American,Saint Clair Avenue W,Wychwood,Yonge and St. Clair,Yonge and St. Clair
Levetto,4 star rating,226,$$,Italian,68 Sudbury Street,(647) 350-3933,,4.0,2,European,Sudbury Street,,1,
The Greek Grill,4 star rating,71,$$,Greek,128 O'Connor Drive,(416) 461-5200,East York,4.0,2,European,O'Connor Drive,,East York,East York
Maha’s,4 star rating,497,$$,Egyptian,226 Greenwood Avenue,(416) 462-2703,Leslieville,4.0,2,African,Greenwood Avenue,,Leslieville,Leslieville
Chelsea’s,4 star rating,1,None,Filipino,29 Howard Street,(647) 352-3488,,4.0,0,Asian,Howard Street,,1,
Que Ling Restaurant,4 star rating,74,$,Vietnamese,248 Boulton Avenue,(416) 778-4038,Riverdale,4.0,1,Asian,Boulton Avenue,,Riverdale,Riverdale
Cinco Mexican Restaurant,4.5 star rating,64,$,Mexican,131 Roncesvalles Ave,(647) 245-8380,Roncesvalles,4.5,1,Mexican,Roncesvalles Ave,,Roncesvalles,Roncesvalles
Rikkochez,4.5 star rating,55,$$,Mediterranean,341 Danforth Avenue,(416) 463-9000,Riverdale,4.5,2,Middle Eastern,Danforth Avenue,,Riverdale,Riverdale
Hacienda las Américas,4.5 star rating,60,$$,Mexican,424 College Street,(647) 347-2931,,4.5,2,Mexican,College Street,Downtown,1,Downtown
Sher-E-Punjab,4 star rating,75,$$,Indian,351 Danforth Avenue,(416) 465-2125,Riverdale,4.0,2,Asian,Danforth Avenue,,Riverdale,Riverdale
Goods & Provisions,4 star rating,95,$$,Bars,1124 Queen Street E,(647) 340-1738,Leslieville,4.0,2,American,Queen Street E,,Leslieville,Leslieville
Five Doors North,4 star rating,117,$$$,Italian,2088 Yonge Street,(416) 480-6234,Mount Pleasant and Davisville,4.0,3,European,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Como En Casa,4 star rating,219,$,Mexican,565 Yonge Street,(647) 748-6666,Church-Wellesley Village,4.0,1,Mexican,Yonge Street,,Church-Wellesley Village,Church-Wellesley Village
Kokyo Japanese Restaurant,4 star rating,47,$$,Japanese,572 Rogers Road,(416) 962-6968,,4.0,2,Asian,Rogers Road,Financial District,1,Financial District
Naan & Kabob,4 star rating,104,$$,Afghan,691 Yonge Street,(416) 972-6623,Church-Wellesley Village,4.0,2,Middle Eastern,Yonge Street,,Church-Wellesley Village,Church-Wellesley Village
Terroni,3 star rating,264,$$$,Italian,1095 Yonge Street,(416) 925-4020,Rosedale,3.0,3,European,Yonge Street,,Rosedale,Rosedale
Kintaro Izakaya,4 star rating,191,$$,Japanese,459 Church Street,(647) 560-5335,Church-Wellesley Village,4.0,2,Asian,Church Street,,Church-Wellesley Village,Church-Wellesley Village
8Mile Detroit Style Pizza,5 star rating,1,None,Pizza,9 Charles Street West,(647) 748-4411,Downtown Core,5.0,0,American,Charles Street West,,Downtown Core,Downtown Core
Chine Legendary Hot Pot & Noodles,4 star rating,198,$$,Chinese,327 Spadina Avenue,(416) 979-1776,Chinatown,4.0,2,Asian,Spadina Avenue,,Chinatown,Chinatown
Nomé Izakaya,4 star rating,624,$$,Lounges,4848 Yonge Street,(647) 347-7937,Willowdale,4.0,2,Other,Yonge Street,,Willowdale,Willowdale
Vicino Italian Kitchen,4.5 star rating,12,None,Italian,146 Sumach St,146 Sumach St,,4.5,0,European,Sumach St,,1,
Sukho Thai,3.5 star rating,124,$$,Thai,1442 Dundas Street W,(416) 792-2432,Little Portugal,3.5,2,Asian,Dundas Street W,,Little Portugal,Little Portugal
Little Piggy’s - Authentic Korean BBQ,3.5 star rating,157,$$,Korean,469 Bloor St W,(416) 972-1674,,3.5,2,Asian,Bloor St W,,1,
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Fresco’s Fish & Chips,4.5 star rating,352,$$,Fish & Chips,201 Augusta Avenue,(416) 546-4557,Kensington Market,4.5,2,American,Augusta Avenue,,Kensington Market,Kensington Market
Cabano’s Comfort Food,4.5 star rating,48,None,Comfort Food,75 Saint Nicholas Street,75 Saint Nicholas Street,Downtown Core,4.5,0,Other,Saint Nicholas Street,,Downtown Core,Downtown Core
Vicino Italian Kitchen,4.5 star rating,12,None,Italian,146 Sumach St,146 Sumach St,,4.5,0,European,Sumach St,,1,
Mexico Lindo,4 star rating,58,$$,Mexican,1618 Bayview Ave,(647) 436-4340,Mount Pleasant and Davisville,4.0,2,Mexican,Bayview Ave,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Tamasha,4.5 star rating,10,None,Bars,1835 Yonge Street,(647) 508-4455,Mount Pleasant and Davisville,4.5,0,American,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Chelsea’s,4 star rating,1,None,Filipino,29 Howard Street,(647) 352-3488,,4.0,0,Asian,Howard Street,,1,
Mi Taco Taqueria,4 star rating,134,$,Mexican,247 Queen Street W,(647) 352-8226,Queen Street West,4.0,1,Mexican,Queen Street W,,Queen Street West,Queen Street West
Patois Toronto,3.5 star rating,275,$$,Chinese,794 Dundas Street W,(647) 350-8999,Little Italy,3.5,2,Asian,Dundas Street W,,Little Italy,Little Italy
Porta Nova Restaurant,4 star rating,12,$$,Portuguese,211 Geary Avenue,(416) 546-3328,,4.0,2,European,Geary Avenue,,1,
Flavours Of Sheba,4.5 star rating,12,None,Ethiopian,1310 St Clair Avenue W,(416) 792-1449,Corso Italia,4.5,0,African,St Clair Avenue W,Corso Italia,Corso Italia,Corso Italia
Hogtown Smoke,4 star rating,64,$$,Barbeque,55 Colborne Street,(416) 691-9009,St. Lawrence,4.0,2,American,Colborne Street,,St. Lawrence,St. Lawrence
Shatter Abbas,4 star rating,14,None,Persian/Iranian,218 Queens Quay W,(416) 551-8010,Harbourfront,4.0,0,Middle Eastern,Queens Quay W,,Harbourfront,Harbourfront
Pizzeria Libretto,4 star rating,109,$$,Pizza,545 King Street W,(647) 352-1200,,4.0,2,American,King Street W,Entertainment District,1,Entertainment District
SARA,4 star rating,45,None,Canadian (New),98 Portland Street,(416) 985-5721,,4.0,0,American,Portland Street,Entertainment District,1,Entertainment District
Actinolite Restaurant,4 star rating,80,$$$$,Canadian (New),971 Ossington Avenue,(416) 962-8943,Christie Pits,4.0,4,American,Ossington Avenue,,Christie Pits,Christie Pits
Terroni,3 star rating,264,$$$,Italian,1095 Yonge Street,(416) 925-4020,Rosedale,3.0,3,European,Yonge Street,,Rosedale,Rosedale
Nomé Izakaya,4 star rating,624,$$,Lounges,4848 Yonge Street,(647) 347-7937,Willowdale,4.0,2,Other,Yonge Street,,Willowdale,Willowdale
Anestis Taverna,4 star rating,56,$$,Greek,526 Danforth Avenue,(416) 461-1996,Greektown,4.0,2,European,Danforth Avenue,,Greektown,Greektown
Casa Sinaloa,5 star rating,1,None,Mexican,291 King Street W,(416) 925-8459,Entertainment District,5.0,0,Mexican,King Street W,Entertainment District,Entertainment District,Entertainment District
Kintaro Izakaya,4 star rating,191,$$,Japanese,459 Church Street,(647) 560-5335,Church-Wellesley Village,4.0,2,Asian,Church Street,,Church-Wellesley Village,Church-Wellesley Village
Pearl Harbourfront Chinese Cuisine,3.5 star rating,231,$$,Dim Sum,207 Queens Quay W,(416) 203-1233,Harbourfront,3.5,2,Asian,Queens Quay W,,Harbourfront,Harbourfront
Sansotei Ramen,4 star rating,867,$$,Ramen,179 Dundas Street W,(647) 748-3833,Downtown Core,4.0,2,Asian,Dundas Street W,,Downtown Core,Downtown Core
Wynona,4.5 star rating,46,None,Italian,819 Gerrard Street E,(416) 778-5171,Leslieville,4.5,0,European,Gerrard Street E,,Leslieville,Leslieville
Fusaro’s,4 star rating,84,$$,Italian,294 Richmond Street E,(647) 347-3309,Corktown,4.0,2,European,Richmond Street E,,Corktown,Corktown
Buca Yorkville,3.5 star rating,192,$$$,Italian,53 Scollard Street,(416) 962-2822,Yorkville,3.5,3,European,Scollard Street,,Yorkville,Yorkville
Bar Neon,4 star rating,63,$$,Bars,1226 Bloor Street W,(647) 748-6366,Bloordale Village,4.0,2,American,Bloor Street W,,Bloordale Village,Bloordale Village
The Burgernator,4 star rating,338,$$,Burgers,269 Augusta Avenue,(647) 748-0990,Kensington Market,4.0,2,American,Augusta Avenue,,Kensington Market,Kensington Market
Five Doors North,4 star rating,117,$$$,Italian,2088 Yonge Street,(416) 480-6234,Mount Pleasant and Davisville,4.0,3,European,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Against the Grain,3 star rating,242,$$,Canadian (New),25 Dockside Drive,(647) 344-1562,,3.0,2,American,Dockside Drive,,1,
Four Four South VIllage,3.5 star rating,106,None,Taiwanese,474 Yonge Street,(416) 413-9802,Downtown Core,3.5,0,Asian,Yonge Street,,Downtown Core,Downtown Core
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
The Carbon Bar,4 star rating,371,$$$,Barbeque,99 Queen Street E,(416) 947-7000,Corktown,4.0,3,American,Queen Street E,,Corktown,Corktown
Liuyishou Hotpot Downtown Toronto,4 star rating,76,$$$,Hot Pot,254 Spadina Avenue,(416) 777-1682,Alexandra Park,4.0,3,Asian,Spadina Avenue,,Alexandra Park,Alexandra Park
Four Four South VIllage,3.5 star rating,106,None,Taiwanese,474 Yonge Street,(416) 413-9802,Downtown Core,3.5,0,Asian,Yonge Street,,Downtown Core,Downtown Core
Bar Raval,4 star rating,276,$$$,Spanish,505 College Street,(647) 344-8001,Little Italy,4.0,3,European,College Street,Downtown,Little Italy,Little Italy
Casa Sinaloa,5 star rating,1,None,Mexican,291 King Street W,(416) 925-8459,Entertainment District,5.0,0,Mexican,King Street W,Entertainment District,Entertainment District,Entertainment District
Banh Mi Boys,4.5 star rating,1102,$,Vietnamese,392 Queen Street W,(416) 363-0588,Queen Street West,4.5,1,Asian,Queen Street W,,Queen Street West,Queen Street West
Pow Wow Cafe,4.5 star rating,139,$$,Canadian (New),213 Augusta Avenue,(416) 551-7717,Kensington Market,4.5,2,American,Augusta Avenue,,Kensington Market,Kensington Market
Imanishi Japanese Kitchen,4 star rating,91,$$,Japanese,1330 Dundas Street W,(416) 706-4225,Little Portugal,4.0,2,Asian,Dundas Street W,,Little Portugal,Little Portugal
Terroni,3.5 star rating,356,$$,Italian,720 Queen Street W,(416) 504-0320,Trinity Bellwoods,3.5,2,European,Queen Street W,,Trinity Bellwoods,Trinity Bellwoods
Wynona,4.5 star rating,46,None,Italian,819 Gerrard Street E,(416) 778-5171,Leslieville,4.5,0,European,Gerrard Street E,,Leslieville,Leslieville
King Solomon and Queen of Sheba,4.5 star rating,20,$$,Ethiopian,360 Queen Street E,(416) 368-9002,Corktown,4.5,2,African,Queen Street E,,Corktown,Corktown
Pearl Harbourfront Chinese Cuisine,3.5 star rating,231,$$,Dim Sum,207 Queens Quay W,(416) 203-1233,Harbourfront,3.5,2,Asian,Queens Quay W,,Harbourfront,Harbourfront
Indian Street Food Company,3.5 star rating,70,$$,Indian,1701 Bayview Avenue,(416) 322-3270,Mount Pleasant and Davisville,3.5,2,Asian,Bayview Avenue,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Mapo Gamjatang,4 star rating,47,$$,Korean,4916 Yonge St,(416) 225-4343,Willowdale,4.0,2,Asian,Yonge St,,Willowdale,Willowdale
The Shozan Room,4.5 star rating,17,None,Japanese,164 Ossington Ave,164 Ossington Ave,Ossington Strip,4.5,0,Asian,Ossington Ave,,Ossington Strip,Ossington Strip
Flame Food+Design,4.5 star rating,14,None,Canadian (New),2197 Bloor Street W,(416) 762-6000,Swansea,4.5,0,American,Bloor Street W,,Swansea,Swansea
La Banane,4 star rating,129,$$$$,French,227 Ossington Avenue,(416) 551-6263,Ossington Strip,4.0,4,European,Ossington Avenue,,Ossington Strip,Ossington Strip
Aish Tanoor,4 star rating,34,$$,Kosher,994 Eglinton Avenue W,(647) 352-5535,,4.0,2,Other,Eglinton Avenue W,York,1,York
Banjara Indian Cuisine,3.5 star rating,416,$$,Indian,796 Bloor Street W,(416) 963-9360,Christie Pits,3.5,2,Asian,Bloor Street W,,Christie Pits,Christie Pits
O.Noir,3.5 star rating,330,$$$,Canadian (New),620 Church St,(416) 922-6647,Church-Wellesley Village,3.5,3,American,Church St,,Church-Wellesley Village,Church-Wellesley Village
The Manna,4.5 star rating,23,$,Korean,726 Bloor Street,(416) 534-5441,Koreatown,4.5,1,Asian,Bloor Street,,Koreatown,Koreatown
Merci Mon Ami,4 star rating,29,$$,Caterers,171 E Liberty St,(647) 436-3832,Liberty Village,4.0,2,Other,E Liberty St,,Liberty Village,Liberty Village
Akira Back,4 star rating,139,$$$$,Japanese,80 Blue Jays Way,(437) 800-5967,Entertainment District,4.0,4,Asian,Blue Jays Way,,Entertainment District,Entertainment District
Completo,4.5 star rating,150,$,Latin American,5 Coady Avenue,(416) 901-9233,Leslieville,4.5,1,American,Coady Avenue,,Leslieville,Leslieville
Beach Hill Smokehouse,4.5 star rating,95,$$,Barbeque,172 Main Street S,(416) 792-8275,Upper Beach,4.5,2,American,Main Street S,,Upper Beach,Upper Beach
The Good Son,4 star rating,182,$$$,Pizza,1096 Queen Street W,(416) 551-0589,Beaconsfield Village,4.0,3,American,Queen Street W,,Beaconsfield Village,Beaconsfield Village
Lil Joe Cucina & Bar,4.5 star rating,18,None,Bistros,1054 Gerrard Street E,(647) 352-6969,Leslieville,4.5,0,American,Gerrard Street E,,Leslieville,Leslieville
Edulis,4 star rating,116,$$$$,Spanish,169 Niagara Street,(416) 703-4222,Niagara,4.0,4,European,Niagara Street,,Niagara,Niagara
Archeo,3 star rating,73,$$,Italian,31 Trinity Street,(416) 815-9898,Distillery District,3.0,2,European,Trinity Street,,Distillery District,Distillery District
Naan And Kabob,4.5 star rating,15,None,Afghan,62 Laird Drive,(647) 352-3544,,4.5,0,Middle Eastern,Laird Drive,,1,
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
The Old Spaghetti Factory,3 star rating,353,$$,Italian,54 The Esplanade,(416) 864-9761,St. Lawrence,3.0,2,European,The Esplanade,,St. Lawrence,St. Lawrence
Efes Kebab House,4.5 star rating,31,$$,Kebab,940 Danforth Avenue,(647) 340-3337,The Danforth,4.5,2,Middle Eastern,Danforth Avenue,,The Danforth,The Danforth
Zakkushi,4.5 star rating,39,None,Japanese,620 Queen Street W,(416) 364-5252,Trinity Bellwoods,4.5,0,Asian,Queen Street W,,Trinity Bellwoods,Trinity Bellwoods
Little Bourbon House,4.5 star rating,21,None,Cajun/Creole,3655 St Clair Avenue E,(416) 536-1806,Scarborough,4.5,0,Other,St Clair Avenue E,,Scarborough,Scarborough
Pukka,4 star rating,160,$$$,Indian,778 St. Clair Avenue W,(416) 342-1906,,4.0,3,Asian,St. Clair Avenue W,,1,
Chiado,4 star rating,118,$$$$,Seafood,864 College Street,(416) 538-1910,Dufferin Grove,4.0,4,American,College Street,Downtown,Dufferin Grove,Dufferin Grove
Chen Chen’s Nashville Hot Chicken,5 star rating,5,None,Chicken Shop,268 Augusta Avenue,(647) 782-3565,Kensington Market,5.0,0,American,Augusta Avenue,,Kensington Market,Kensington Market
Roti Cuisine of India,4 star rating,101,$$,Indian,308 Dupont Street,(416) 968-9366,,4.0,2,Asian,Dupont Street,,1,
Bacan,4 star rating,10,None,Argentine,369 Roncesvalles Avenue,(416) 535-2222,Roncesvalles,4.0,0,South American,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Favorites,4 star rating,21,None,Salad,141 Ossington Avenue,141 Ossington Avenue,Ossington Strip,4.0,0,American,Ossington Avenue,,Ossington Strip,Ossington Strip
V’s Schnitzel House,3.5 star rating,19,$$,Slovakian,448 Browns Line,(416) 255-3179,Etobicoke,3.5,2,European,Browns Line,,Etobicoke,Etobicoke
Los Guaca-Moles,4 star rating,44,$$,Mexican,690 Euclid Avenue,(647) 347-5031,Koreatown,4.0,2,Mexican,Euclid Avenue,,Koreatown,Koreatown
Souk Tabule,4 star rating,100,$$,Middle Eastern,494 Front Street E,(416) 583-5914,West Don Lands,4.0,2,Middle Eastern,Front Street E,,West Don Lands,West Don Lands
Naan and Chai,4.5 star rating,6,None,Pakistani,712 Queen Street W,(416) 366-6226,Trinity Bellwoods,4.5,0,Middle Eastern,Queen Street W,,Trinity Bellwoods,Trinity Bellwoods
Mangia & Bevi,4 star rating,213,$$,Italian,260 King Street E,(416) 613-1236,Corktown,4.0,2,European,King Street E,,Corktown,Corktown
Ascari Enoteca,4 star rating,111,$$$,Italian,1111 Queen Street E,(416) 792-4157,Leslieville,4.0,3,European,Queen Street E,,Leslieville,Leslieville
Cactus Club Cafe,4 star rating,516,$$$,Cocktail Bars,None,(647) 748-2025,Financial District,4.0,3,American,,,Financial District,Financial District
Cool Runnings Restaurant,4 star rating,93,$$,Caribbean,146 Main Street,(416) 693-8724,Upper Beach,4.0,2,Carribean,Main Street,,Upper Beach,Upper Beach
Harry’s Steak House,4.5 star rating,13,None,Steakhouses,3277 Bloor Street W,(416) 551-5864,Etobicoke,4.5,0,American,Bloor Street W,,Etobicoke,Etobicoke
Goa Kitchen,4 star rating,59,$$,Indian,2901 Bayview Avenue,(647) 352-1661,Bayview Village,4.0,2,Asian,Bayview Avenue,,Bayview Village,Bayview Village
Mustafa Turkish Pizza,4 star rating,136,$$,Turkish,866 Wilson Avenue,(416) 631-0300,Downsview,4.0,2,Middle Eastern,Wilson Avenue,North York,Downsview,Downsview
Clay Restaurant,4 star rating,6,None,Canadian (New),111 Queens Park,(416) 586-8086,Yorkville,4.0,0,American,Queens Park,,Yorkville,Yorkville
Zakkushi On Carlton,4 star rating,294,$$$,Japanese,193 Carlton Street,(647) 352-9455,,4.0,3,Asian,Carlton Street,Cabbage Town,1,Cabbage Town
Taqueria Gus,4.5 star rating,22,None,Mexican,225 Augusta Avenue,(416) 977-8226,Kensington Market,4.5,0,Mexican,Augusta Avenue,,Kensington Market,Kensington Market
Little Tibet Restaurant,4.5 star rating,19,None,Himalayan/Nepalese,1449A Queen Street W,(416) 532-9728,Parkdale,4.5,0,Asian,Queen Street W,,Parkdale,Parkdale
Rush Hour,4.5 star rating,42,$$,Portuguese,1438A Dufferin Street,(416) 533-4687,,4.5,2,European,Dufferin Street,Downtown Core,1,Downtown Core
Pure Spirits Oyster House & Grill,3 star rating,253,$$$,Seafood,17 Tank House Lane,(416) 361-5859,Distillery District,3.0,3,American,Tank House Lane,,Distillery District,Distillery District
Koyoi Restaurant & Bar,4 star rating,128,$$,Japanese,2 Irwin Avenue,(647) 351-5128,Downtown Core,4.0,2,Asian,Irwin Avenue,,Downtown Core,Downtown Core
EAT BKK Thai Kitchen,4 star rating,58,$$,Thai,898 Queen Street E,(416) 466-4644,Leslieville,4.0,2,Asian,Queen Street E,,Leslieville,Leslieville
Mother India,4 star rating,193,$$,Indian,1456 Queen Street W,(416) 588-4634,Parkdale,4.0,2,Asian,Queen Street W,,Parkdale,Parkdale
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
The Rec Room,3 star rating,287,$$,Arcades,255 Bremner Boulevard,(416) 815-0086,Entertainment District,3.0,2,Other,Bremner Boulevard,,Entertainment District,Entertainment District
Kit Kat Italian Bar & Grill,4 star rating,251,$$,Italian,297 King Street W,(416) 977-4461,Entertainment District,4.0,2,European,King Street W,Entertainment District,Entertainment District,Entertainment District
Nodo Leslieville,4 star rating,9,None,Italian,1192 Queen Street East,(416) 792-4196,Leslieville,4.0,0,European,Queen Street East,,Leslieville,Leslieville
Udon Kitanoya,3.5 star rating,67,$$,Japanese,513 Bloor Street W,(416) 519-8513,,3.5,2,Asian,Bloor Street W,,1,
Itacate,4.5 star rating,33,$$,Mexican,998 St. Clair Avenue W,(647) 701-0420,,4.5,2,Mexican,St. Clair Avenue W,,1,
Piri-Piri,3.5 star rating,38,$$,Portuguese,1444 Dupont Street,(416) 536-5100,The Junction,3.5,2,European,Dupont Street,,The Junction,The Junction
Copacabana Brazilian Steak House,3.5 star rating,342,$$$,Brazilian,150 Eglinton Avenue E,(888) 432-6721,Yonge and Eglinton,3.5,3,South American,Eglinton Avenue E,,Yonge and Eglinton,Yonge and Eglinton
Lageez,4.5 star rating,99,$$,Indian,641 Pharmacy Avenue,(416) 285-7999,Scarborough,4.5,2,Asian,Pharmacy Avenue,,Scarborough,Scarborough
Playa Cabana - Hacienda,3.5 star rating,149,$$,Mexican,14 Dupont Street,(647) 352-6030,The Annex,3.5,2,Mexican,Dupont Street,,The Annex,The Annex
Urban Hakka,4 star rating,52,$$,Hakka,3305 Yonge Street,(416) 481-0101,,4.0,2,Asian,Yonge Street,,1,
Bodega Henriette,4.5 star rating,33,$$,Breakfast & Brunch,234 King Street E,234 King Street E,Corktown,4.5,2,American,King Street E,,Corktown,Corktown
Local Liberty Village,4 star rating,267,$$,Sports Bars,171 E Liberty Street,(416) 901-8351,Liberty Village,4.0,2,American,E Liberty Street,,Liberty Village,Liberty Village
Pho Xua,3.5 star rating,38,$,Thai,1768 Street Clair Avenue W,(416) 519-9979,,3.5,1,Asian,Street Clair Avenue W,,1,
Boodle Fight,3.5 star rating,46,$$,Filipino,937 Danforth Avenue,(416) 901-8460,The Danforth,3.5,2,Asian,Danforth Avenue,,The Danforth,The Danforth
360 Restaurant,3.5 star rating,870,$$$$,Canadian (New),301 Front Street W,(416) 362-5411,Entertainment District,3.5,4,American,Front Street W,,Entertainment District,Entertainment District
Whelan’s Gate Gastropub,4.5 star rating,30,$$,Irish Pub,1663 Bloor Street W,(647) 478-6388,High Park,4.5,2,American,Bloor Street W,,High Park,High Park
Balsamico Ristorante,4.5 star rating,40,$$,Italian,2029 Yonge St,(647) 348-0337,Mount Pleasant and Davisville,4.5,2,European,Yonge St,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Southern Accent Restaurant,4 star rating,60,$$$,Southern,839 College Street,(416) 901-3211,Dufferin Grove,4.0,3,American,College Street,Downtown,Dufferin Grove,Dufferin Grove
The Enchanted Poutinerie,4.5 star rating,9,None,Poutineries,730 Wilson Avenue,(416) 901-1993,Downsview,4.5,0,American,Wilson Avenue,North York,Downsview,Downsview
Forget Me Not Cafe,4 star rating,105,$$,Vietnamese,883 Wilson Avenue,(647) 627-0883,,4.0,2,Asian,Wilson Avenue,North York,1,North York
Budapest Restaurant,5 star rating,1,None,Hungarian,1708 Eglinton Avenue W,(416) 551-5881,,5.0,0,European,Eglinton Avenue W,York,1,York
Dante’s Inferno Paninoteca,4.5 star rating,31,$$,Pizza,1151 Davenport Road,(416) 658-9600,Wychwood,4.5,2,American,Davenport Road,,Wychwood,Wychwood
The Great Maratha,4 star rating,49,$$,Indian,965 Eglinton Avenue W,(416) 787-1020,,4.0,2,Asian,Eglinton Avenue W,York,1,York
Pho House,4 star rating,74,$$,Vietnamese,625 Gerrard Street E,(416) 778-7888,Riverdale,4.0,2,Asian,Gerrard Street E,,Riverdale,Riverdale
98 Aroma,4 star rating,88,$$,Chinese,440 Spadina Avenue,(416) 968-9888,Kensington Market,4.0,2,Asian,Spadina Avenue,,Kensington Market,Kensington Market
The Beech Tree,4 star rating,48,$$,Wine Bars,924 Kingston Road,(416) 699-4444,Upper Beach,4.0,2,American,Kingston Road,,Upper Beach,Upper Beach
Gin Mill,4 star rating,20,None,Gastropubs,2202 Bloor Street W,(416) 763-3365,Bloor-West Village,4.0,0,American,Bloor Street W,,Bloor-West Village,Bloor-West Village
Tonkin Vietnamese,4.5 star rating,9,None,Vietnamese,2404 Dufferin Street,(416) 784-1491,,4.5,0,Asian,Dufferin Street,Downtown Core,1,Downtown Core
Meat Point,4.5 star rating,45,None,Turkish,1021 Wilson Ave,(416) 638-6721,Downsview,4.5,0,Middle Eastern,Wilson Ave,,Downsview,Downsview
Medieval Times Toronto,4 star rating,173,$$$,Dinner Theater,10 Dufferin Street,(888) 935-6878,,4.0,3,Other,Dufferin Street,Downtown Core,1,Downtown Core
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Restaurante Las San Sivar Pupusería,4.5 star rating,13,None,Salvadoran,2461 St Clair Avenue W,(416) 763-4141,,4.5,0,South American,St Clair Avenue W,Corso Italia,1,Corso Italia
Dragon Pearl Buffet,3.5 star rating,343,$$,Buffets,865 York Mills Road,(647) 352-2288,,3.5,2,Asian,York Mills Road,North York,1,North York
Matha Roti - East Indian Cuisine,4.5 star rating,26,None,Indian,141 Harbord Street,(416) 966-6955,,4.5,0,Asian,Harbord Street,Entertainment District,1,Entertainment District
El Charro,4 star rating,66,$,Mexican,788 Broadview ave,(647) 358-5883,,4.0,1,Mexican,Broadview ave,,1,
Nove Trattoria,4 star rating,49,$$,Italian,1406 Yonge St,(647) 345-5848,Yonge and St. Clair,4.0,2,European,Yonge St,,Yonge and St. Clair,Yonge and St. Clair
The Civic At the Broadview Hotel,3 star rating,27,None,American (Traditional),None,(416) 362-8439,Riverdale,3.0,0,American,,,Riverdale,Riverdale
Bindia Indian Bistro,4 star rating,176,$$,Indian,16 Market Street,(416) 863-0000,St. Lawrence,4.0,2,Asian,Market Street,,St. Lawrence,St. Lawrence
